D¡a ;Mes ;Anio;Fc;Pto. Vta;Nro Compr.;Nombre del Cliente;CUIT;Alicuota (IVA);Neto ;IVA;IVA Percep;IIBB Percep;Act Vs Percep;Imp Internos;No Gravados;Exentos ;Total
7;2;2018;001-FACTURAS A;8340;96210;CABLEVISION S.A;30573652084;21% 0005;768,60;161,41;0,00;0,00;0,00;0,00;0,00;0,00;930,01
7;2;2018;001-FACTURAS A;8340;96207;CABLEVISION S.A;30573652084;21% 0005;768,60;161,41;0,00;0,00;0,00;0,00;0,00;0,00;930,01
7;2;2018;001-FACTURAS A;8104;17249368;TELECON ARGENTINA S.A.;30639453798;27% 0006;220,70;59,59;0,00;0,00;0,00;0,00;0,00;0,00;280,29
7;2;2018;001-FACTURAS A;8102;17307242;TELECON ARGENTINA S.A.;30639453798;27% 0006;524,78;141,69;0,00;0,00;0,00;0,00;0,00;0,00;666,47
19;2;2018;001-FACTURAS A;0101;503492;EDESA S.A.;30690633635;27% 0006;1821,71;491,86;0,00;65,58;0,00;0,00;250,76;0,00;2629,91
15;2;2018;001-FACTURAS A;0101;500260;EDESA S.A.;30690633635;27% 0006;76,77;20,73;0,00;2,76;0,00;0,00;963,48;0,00;1063,74
19;2;2018;001-FACTURAS A;0101;501299;EDESA S.A.;30690633635;27% 0006;797,51;215,33;0,00;28,71;0,00;0,00;735,73;0,00;1777,28
8;2;2018;001-FACTURAS A;0101;496282;EDESA S.A.;30690633635;27% 0006;150,22;40,56;0,00;5,41;0,00;0,00;909,18;0,00;1105,37
8;2;2018;001-FACTURAS A;0101;496294;EDESA S.A.;30690633635;27% 0006;476,77;128,73;0,00;17,16;0,00;0,00;955,63;0,00;1578,29
8;2;2018;001-FACTURAS A;0101;496289;EDESA S.A.;30690633635;27% 0006;52,16;14,08;0,00;1,88;0,00;0,00;877,22;0,00;945,34
22;2;2018;001-FACTURAS A;6364;22162;TELECOM PERSON AL S.A;30678186446;27% 0006;1993,06;538,12;0,00;0,00;0,00;83,05;81,45;0,00;2695,68
22;2;2018;001-FACTURAS A;6364;22162;TELECOM PERSON AL S.A;30678186446;21% 0005;43,09;9,05;0,00;0,00;0,00;0,00;0,00;0,00;52,14
22;2;2018;001-FACTURAS A;6364;224048;TELECOM PERSON AL S.A;30678186446;27% 0006;1172,39;316,54;0,00;0,00;0,00;47,58;11,72;0,00;1548,23
10;12;2017;001-FACTURAS A;0264;128979;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;447346,22;93942,71;13420,40;0,00;0,00;0,00;1923,60;0,00;556632,93
10;12;2017;001-FACTURAS A;0264;128980;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;505043,26;106059,08;15151,31;0,00;0,00;0,00;2171,70;0,00;628425,35
10;12;2017;003-NOTAS DE CREDITO A;0264;1499;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;-20520,21;-4309,25;-615,63;0,00;0,00;0,00;-88,25;0,00;-25533,34
24;12;2017;001-FACTURAS A;0264;129828;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;383439,62;80522,32;11503,20;0,00;0,00;0,00;1648,80;0,00;477113,94
24;12;2017;001-FACTURAS A;0264;129829;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;672882,88;141305,40;20186,49;0,00;0,00;0,00;2893,41;0,00;837268,18
24;12;2017;003-NOTAS DE CREDITO A;0264;1543;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;-16638,02;-3493,98;-499,16;0,00;0,00;0,00;-71,56;0,00;-20702,72
