02/01/2017;TEF DATANET PR ACEITERA GENERAL 30502874353;;450000;460969,7
02/01/2017;ACREDITACION CHEQUE REMESAS Suc.:813;;5741,15;466710,85
02/01/2017;COMISI‡N ADM. VALORES AL COBRO CC Suc.:813;25,84;;466685,01
02/01/2017;  DEBITO FISCAL IVA BASICO;5,43;;466679,58
02/01/2017;RET. ING. BRUTOS SIRCREB Suc.:811;3645,93;;463033,65
02/01/2017;RET IIBB TUCUMAN Suc.:140;273,44;;462760,21
02/01/2017;IMPDBCR 25413 S/CR TASA GRAL;2734,45;;460025,76
02/01/2017;IMPDBCR 25413 S/DB TASA GRAL;23,71;;460002,05
03/01/2017;TRATM  OT 30714343668 FAC;;4616,27;464618,32
03/01/2017;COMISION INTERDEP. CH. TAS Suc.:811;295,98;;464322,34
03/01/2017;  DEBITO FISCAL IVA BASICO;62,16;;464260,18
03/01/2017;RET. ING. BRUTOS SIRCREB Suc.:811;36,93;;464223,25
03/01/2017;RET IIBB TUCUMAN Suc.:140;2,77;;464220,48
03/01/2017;IMPDBCR 25413 S/CR TASA GRAL;27,7;;464192,78
03/01/2017;IMPDBCR 25413 S/DB TASA GRAL;2,39;;464190,39
04/01/2017;CR INTERDEPOSITO EN EFECTIVO CC Suc.:114;;100000;564190,39
04/01/2017;CR INTERDEPOSITO EN EFECTIVO CC Suc.:114;;13595;577785,39
04/01/2017;TRANSFERENCIA  INTERBANCARIA;16019,6;;561765,79
04/01/2017;TRANSFERENCIA  INTERBANCARIA;6626,87;;555138,92
04/01/2017;TRANSFERENCIA  INTERBANCARIA;12449,88;;542689,04
04/01/2017;TRANSFERENCIA  INTERBANCARIA;9761,1;;532927,94
04/01/2017;TRANSFERENCIA  INTERBANCARIA;5008,31;;527919,63
04/01/2017;TRANSFERENCIA  INTERBANCARIA;28787,46;;499132,17
04/01/2017;TELECOM ARGENTINA;801,59;;498330,58
04/01/2017;TELECOM ARGENTINA;479,21;;497851,37
04/01/2017;PERSONAL;3851,53;;493999,84
04/01/2017;TELMEX ARGENTINA;218,49;;493781,35
04/01/2017;TELMEX ARGENTINA;469,9;;493311,45
04/01/2017;IMP. AFIP;9849,77;;483461,68
04/01/2017;IMP. AFIP;1407,11;;482054,57
04/01/2017;IMP. AFIP;2888,92;;479165,65
04/01/2017;TRANSFERENCIA  INTERBANCARIA;21269,62;;457896,03
04/01/2017;TRANSFERENCIA INTERBANCARIA;12000;;445896,03
04/01/2017;ACREDITACION CHEQUE REMESAS Suc.:813;;8056,76;453952,79
04/01/2017;COMISI‡N ADM. VALORES AL COBRO CC Suc.:813;36,26;;453916,53
04/01/2017;  DEBITO FISCAL IVA BASICO;7,61;;453908,92
04/01/2017;RET. ING. BRUTOS SIRCREB Suc.:811;973,21;;452935,71
04/01/2017;RET IIBB TUCUMAN Suc.:140;72,99;;452862,72
04/01/2017;IMPDBCR 25413 S/CR TASA GRAL;729,91;;452132,81
04/01/2017;IMPDBCR 25413 S/DB TASA GRAL;797,88;;451334,93
05/01/2017;TRATM  OT 30520515379 VAR SARQUIZ HNOS;;12234,53;463569,46
05/01/2017;FONDO COMUN DE INVERSION Suc.:811;180000;;283569,46
05/01/2017;DEBITO CV ME TRANSF MO;246000;;37569,46
05/01/2017;COMISION INTERDEP EFECT TAS Suc.:140;15;;37554,46
05/01/2017;  DEBITO FISCAL IVA BASICO;3,15;;37551,31
05/01/2017;INTERDEPOSITO EFECT TAS Suc.:140;;500;38051,31
05/01/2017;TRANSFERENCIA  INTERBANCARIA;18000;;20051,31
05/01/2017;TEF DATANET PR ACA BIO COOP. LTDA 30711829063;;9187,49;29238,8
05/01/2017;RET. ING. BRUTOS SIRCREB Suc.:811;175,38;;29063,42
05/01/2017;RET IIBB TUCUMAN Suc.:140;13,15;;29050,27
05/01/2017;IMPDBCR 25413 S/CR TASA GRAL;131,53;;28918,74
05/01/2017;IMPDBCR 25413 S/DB TASA GRAL;1585,24;;27333,5
06/01/2017;TRANSFERENCIA INTERBANCARIA;4200;;23133,5
06/01/2017;ACREDITACION CHEQUE REMESAS Suc.:809;;4000;27133,5
06/01/2017;COM RETIRO EFECTIVO POR CAJA;412;;26721,5
06/01/2017;  DEBITO FISCAL IVA BASICO;86,52;;26634,98
06/01/2017;RET. ING. BRUTOS SIRCREB Suc.:811;32;;26602,98
06/01/2017;RET IIBB TUCUMAN Suc.:140;2,4;;26600,58
06/01/2017;IMPDBCR 25413 S/CR TASA GRAL;24;;26576,58
06/01/2017;IMPDBCR 25413 S/DB TASA GRAL;28,39;;26548,19
09/01/2017;TRANSFERENCIA INTERBANCARIA;2860;;23688,19
09/01/2017;IMPDBCR 25413 S/DB TASA GRAL;17,16;;23671,03
10/01/2017;TRANSFERENCIA  INTERBANCARIA;4000;;19671,03
10/01/2017;CHEQUE VENTANILLA Suc.:114;8000;;11671,03
10/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;9671,03
10/01/2017;CABLE EXPRESS;448;;9223,03
10/01/2017;GASNOR;439,6;;8783,43
